movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,directors/1/peopleNm,companys/0/companyCd,companys/0/companyNm,directors/2/peopleNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm,directors/3/peopleNm,companys/3/companyCd,companys/3/companyNm
20147684,리스본행 야간열차,Night Train to Lisbon,2013,20140605,장편,개봉,"독일,스위스,포르투갈","미스터리,멜로/로맨스,스릴러",독일,미스터리,빌 어거스트,,,,,,,,,,,
20143107,토미웅거러 스토리,Far Out Isn't Far Enough: The Tomi Ungerer Story,2012,20141113,장편,개봉,프랑스,다큐멘터리,프랑스,다큐멘터리,브래드 번스타인,,,,,,,,,,,
20139401,찌라시: 위험한 소문,Tabloid Truth,2013,20140220,장편,개봉,한국,"범죄,드라마",한국,범죄,김광식,,20061784,(주)영화사수박,,,,,,,,
20136292,"가장 따뜻한 색, 블루",Blue Is The Warmest Color,2013,20140116,장편,개봉,프랑스,"드라마,멜로/로맨스",프랑스,드라마,압델라티프 케시시,,,,,,,,,,,
20149528,언더 더 스킨,Under The Skin,2013,20140717,장편,개봉,영국,"SF,드라마",영국,SF,조나단 글레이저,,,,,,,,,,,
20135898,별일아니다,Ordinary Days,2012,20140213,장편,개봉,한국,드라마,한국,드라마,김상석,,20140870,심플무비스,,,,,,,,
20147252,라 체네렌톨라 ,LA CENERENTOLA ,2014,20141101,장편,개봉,미국,공연,미국,공연,,,,,,,,,,,,
20149543,별이 빛나는 밤,Starry Night : Lone Star Story,2014,20140619,장편,후반작업,한국,다큐멘터리,한국,다큐멘터리,공귀현,,20124095,스파이럴 프로젝트,,,,,,,,
20149415,쿰바: 반쪽무늬 얼룩말의 대모험,Khumba,2013,20140904,장편,개봉,남아프리카공화국,"애니메이션,어드벤처,가족",남아프리카공화국,애니메이션,앤서니 실버스톤,,,,,,,,,,,
20147558,피쉬와 칩스 극장판,Fish N Chips The Movie,2013,20140306,장편,개봉,호주,애니메이션,호주,애니메이션,댄 크레치,,,,,,,,,,,
20147649,벨과 세바스찬,Belle and Sebastien,2013,20140320,장편,개봉,프랑스,어드벤처,프랑스,어드벤처,니콜라 바니에,,,,,,,,,,,
20147900,드래곤 기사단,The Heart of the Oak,2013,20140501,장편,개봉,스페인,"애니메이션,판타지",스페인,애니메이션,앵겔 이즈퀴에르도,리카르도 라몬,,,,,,,,,,
20144001,15소년 표류기: 해적섬을 탈출하라,The Lost 15 Boys: The Big Adventure On Pirate Island,2013,20141127,장편,개봉,일본,애니메이션,일본,애니메이션,나카무라 류타로,,,,,,,,,,,
20148381,60만번의 트라이,"One for All, All for One",2013,20140918,장편,개봉,"한국,일본",다큐멘터리,한국,다큐멘터리,박사유,박돈사,20143309,꼬마프레스,,20143310,60만번의트라이제작위원회,,,,,
