movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,companys/1/companyCd,companys/1/companyNm,directors/1/peopleNm,companys/2/companyCd,companys/2/companyNm,companys/3/companyCd,companys/3/companyNm,directors/2/peopleNm,directors/3/peopleNm
20177264,파란만장 청춘! 짐승처럼 가라!,LOVE AND OTHER CULTS,2017,20171219,장편,개봉,일본,코미디,일본,코미디,우치다 에이지,,,,,,,,,,,
20178468,666 사탄의 아들,Neron,2016,20171217,장편,개봉,미국,,미국,,,,,,,,,,,,,
20178102,두처제2,,2017,20171215,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,박주영,20130184,스마일컨텐츠,,,,,,,,,
20175235,앨티튜드,Altitude,2017,20171215,장편,개봉,미국,"액션,스릴러",미국,액션,알렉스 머킨,,,,,,,,,,,
20177103,섹스의 목적 - 감독판,,2017,20171214,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,이민,20063099,(주)케이알씨지,,,이민,,,,,,
20177706,젊은 형수님: 형의 여자를 탐하다,,2017,20171208,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,강정훈,20112175,(주)소나무픽쳐스,,,,,,,,,
20177683,새엄마 2: 그녀의 남자가 되다,,2017,20171208,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,강정훈,20112175,(주)소나무픽쳐스,,,,,,,,,
20177642,부부교환섹스 2,,2017,20171208,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,강정훈,20112175,(주)소나무픽쳐스,,,,,,,,,
20177707,내 친구의 아내: 만져봐도 될까요? (무삭제),,2017,20171208,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,강정훈,20112175,(주)소나무픽쳐스,,,,,,,,,
20175967,다크니스 라이징,Darkness Rising,2017,20171207,장편,개봉,미국,공포(호러),미국,공포(호러),오스틴 리딩,,,,,,,,,,,
