movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,directors/1/peopleNm,directors/2/peopleNm,directors/3/peopleNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm,companys/3/companyCd,companys/3/companyNm
20158795,해에게서 소년에게,Under the Sun,2015,20151119,장편,개봉,한국,드라마,한국,드라마,안슬기,20125955,(주)타이거시네마,,,,20158092,DGC,,,,
20148188,쎄시봉,C'est Si Bon,2014,20150205,장편,개봉,한국,"멜로/로맨스,코미디,드라마",한국,멜로/로맨스,김현석,20101112,유한회사 제이필름,,,,20124915,(주)무브픽쳐스,,,,
20140703,장수상회,Salut d’Amour ,2014,20150409,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,강제규,20138477,(주)빅픽쳐,,,,20110854,씨제이이앤엠(주),,,,
20149569,악의 연대기,The Chronicles of Evil,2015,20150514,장편,개봉,한국,스릴러,한국,스릴러,백운학,20138935,(주)비에이엔터테인먼트,,,,,,,,,
20136869,은밀한 유혹,Perfect Proposal,2015,20150604,장편,개봉,한국,"멜로/로맨스,범죄",한국,멜로/로맨스,윤재구,20100362,(주)영화사비단길,,,,20100340,(주)수필름,,,,
20148844,손님,The Piper,2014,20150709,장편,개봉,한국,"판타지,공포(호러)",한국,판타지,김광태,20100346,(주)유비유필름,,,,,,,,,
20151461,아웃캐스트: 절명도망 무삭제판,Outcast,2014,20150709,장편,개봉,"미국,캐나다,중국","액션,전쟁,어드벤처",미국,액션,닉 포웰,,,,,,,,,,,
20143252,개: dog eat dog,Dog Eat Dog,2015,20150305,장편,개봉,한국,"범죄,드라마",한국,범죄,황욱,20138735,어썸피플,박민우,,,20153629,어썸픽쳐스,,,,
20152279,마리 이야기: 손끝의 기적,Marie's story,2014,20150820,장편,개봉,프랑스,드라마,프랑스,드라마,장 피에르 아메리스,,,,,,,,,,,
20152041,남편만 몰라요,,2015,20150707,장편,개봉,한국,"멜로/로맨스,코미디",한국,멜로/로맨스,고광현,20155308,(주)큰손엔터테인먼트,,,,,,,,,
20155564,남편만 몰라요 (무삭제),,2015,20150930,장편,개봉,한국,"멜로/로맨스,코미디",한국,멜로/로맨스,고광현,20155308,(주)큰손엔터테인먼트,,,,,,,,,
20142856,나의 절친 악당들,Intimate Enemies,2014,20150625,장편,개봉,한국,"범죄,액션,드라마",한국,범죄,임상수,20111485,휠므빠말주식회사,,,,20124236,이십세기폭스 인터내셔널 프로덕션,,,,
20156281,성실한 나라의 앨리스,Alice In Earnestland,2014,20150813,장편,개봉,한국,드라마,한국,드라마,안국진,20100572,한국영화아카데미,,,,,,,,,
20153311,기적의 피아노,Miracles on the Piano ,2015,20150903,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,임성구,20154709,(주)보고싶은영화사,김은주,,,,,,,,
20155879,유부녀들,,2015,20151014,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,경석호,20141397,영화사 인연,,,,,,,,,
20158644,내 친구의 아내,,2015,20151203,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,탁승오,20100935,(주)씨네토리,,,,,,,,,
20158724,파리지엔느 프로젝트,PARIS A TOUT PRIX,2013,20150414,장편,개봉,프랑스,"드라마,코미디",프랑스,드라마,림 케리시,,,,,,,,,,,
20157422,"단지 키스, 맛있는 키스",Bon appetit,2010,20150305,장편,개봉,이탈리아,"멜로/로맨스,코미디",이탈리아,멜로/로맨스,데이빗 피닐로스,,,,,,,,,,,
20156748,열정같은소리하고있네,YOU CALL IT PASSION,2015,20151125,장편,개봉,한국,드라마,한국,드라마,정기훈,20100432,반짝반짝영화사(주),,,,,,,,,
20151302,무민 더 무비,Moomins on the Riviera,2014,20150813,장편,개봉,"핀란드,프랑스","애니메이션,코미디,가족",핀란드,애니메이션,자비에 피카르,,,,,,,,,,,
20156807,뽀로로 극장판 컴퓨터 왕국 대모험,Pororo3 :  Cyber Space Adventure,2015,20151210,장편,개봉,한국,애니메이션,한국,애니메이션,박영균,20020113,(주)오콘,,,,,,,,,
20144322,도라에몽 : 스탠 바이 미,Stand by Me Doraemon,2014,20150212,장편,개봉,일본,애니메이션,일본,애니메이션,야마자키 타카시,,,야기 류이치,,,,,,,,
20148851,암살,Assassination,2015,20150722,장편,개봉,한국,"액션,드라마",한국,액션,최동훈,20062083,(주)케이퍼필름,,,,,,,,,
20157465,그놈이다,FATAL INTUITION,2015,20151028,장편,개봉,한국,스릴러,한국,스릴러,윤준형,20040050,상상필름(주),,,,,,,,,
20152064,필름시대사랑,Love and...,2015,20151022,장편,개봉,한국,드라마,한국,드라마,장률,20100933,(주)률필름,,,,20111081,(주)스마일이엔티,,,,
20145504,특종: 량첸살인기,The Exclusive : Beat the Devil's Tattoo,2015,20151022,장편,개봉,한국,스릴러,한국,스릴러,노덕,20141519,(주)우주필름,,,,20123441,(주)뱅가드스튜디오,,,,
20148855,극비수사,The Classified File,2014,20150618,장편,개봉,한국,"드라마,범죄",한국,드라마,곽경택,2013214,(주)제이콘컴퍼니,,,,20155348,(주)영화사 신세계,,,,
20031141,완전한 사육 4: 비밀의 지하실,Perfect Education 4: Secret Basement,2003,20150923,장편,개봉,일본,"드라마,범죄,스릴러",일본,드라마,미즈타니 토시유키,,,,,,,,,,,
20136888,강남 1970,Gangnam Blues,2014,20150121,장편,개봉,한국,"액션,드라마",한국,액션,유하,20141216,(주)모베라픽처스,,,,20100103,(주)쇼박스,,,,
20136057,소수의견,The Unfair,2013,20150624,장편,개봉,한국,드라마,한국,드라마,김성제,20100834,(주)하리마오픽쳐스,,,,,,,,,
20157464,더 폰,The Phone,2015,20151022,장편,개봉,한국,"스릴러,액션",한국,스릴러,김봉주,20123067,(주)미스터로맨스,,,,,,,,,
19848035,카르멘,Carmen,1984,20151207,장편,개봉,"프랑스,이탈리아","드라마,뮤지컬",프랑스,드라마,프란체스코 로시,,,,,,,,,,,
20157783,창녀 고문 지옥,prostitute torture hell,1973,20151029,장편,개봉,일본,드라마,일본,드라마,타나카 노보루,,,,,,,,,,,
20153307,어떤이의 꿈,Life Is but an Empty Dream,2014,20151126,장편,개봉,한국,드라마,한국,드라마,조성규,20158068,(주)예스컴,,,,20141039,하준사,,,,
20159161,마돈나,Madonna,2015,20150702,장편,개봉,한국,드라마,한국,드라마,신수원,20130061,준필름,,,,,,,,,
20148841,헬머니,Granny's Got Talent,2014,20150305,장편,개봉,한국,코미디,한국,코미디,신한솔,20100938,(주)전망좋은 영화사,,,,20139196,TCO(주)더콘텐츠온,,,,
20141702,위로공단,Factory Complex,2014,20150813,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,임흥순,20137935,반달,,,,,,,,,
20141602,소셜포비아,Socialphobia,2014,20150312,장편,개봉,한국,"스릴러,드라마",한국,스릴러,홍석재,20100572,한국영화아카데미,,,,,,,,,
20135264,돼지 같은 여자,"My sister, the pig lady",2013,20150910,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,장문일,20100292,(주)아이필름홀딩스,,,,,,,,,
20143942,엘리제궁의 요리사,HAUTE CUISINE,2012,20150319,장편,개봉,프랑스,코미디,프랑스,코미디,크리스티앙 뱅상,,,,,,,,,,,
20143513,미쓰 와이프,Wonderful Nightmare,2015,20150813,장편,개봉,한국,코미디,한국,코미디,강효진,20063189,(주)영화사아이비젼,,,,,,,,,
20134798,연평해전,Northern Limit Line,2015,20150624,장편,개봉,한국,드라마,한국,드라마,김학순,20062680,(주)로제타시네마,,,,,,,,,
20150941,악인은 살아 있다,Bad Man,2014,20150716,장편,개봉,한국,스릴러,한국,스릴러,김회근,20122935,(주)에스에이치필름,,,,,,,,,
20148845,스물,Twenty,2014,20150325,장편,개봉,한국,"코미디,드라마",한국,코미디,이병헌,20154488,(주)영화나무,,,,20100514,(주)아이에이치큐,,,,
20153821,미션: 톱스타를 훔쳐라,Mission: Kidnap the Top Star,2015,20150903,장편,개봉,한국,"액션,코미디,드라마",한국,액션,노병하,20156348,(주)영화사희망,,,,,,,,,
20154862,조선안방 스캔들-칠거지악,,2014,20150915,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이전,20061687,(주)스넵쏘울,,,,,,,,,
20149298,어우동: 주인 없는 꽃,Uhwudong: Ownerless Flower,2014,20150129,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이수성,20122497,(유)조이앤컨텐츠그룹,,,,20063187,㈜리필름,,,,
20147130,타투,Tattoo,2014,20151210,장편,개봉,한국,스릴러,한국,스릴러,이서,20100385,(주)다세포클럽,,,,20125555,(주)코리아스토리 ,,,,
20144021,맥베스,MACBETH,2014,20150124,장편,개봉,미국,공연,미국,공연,에이드리언 노블,,,,,,,,,,,
20152261,그리울 련,Amor,2015,20150813,장편,개봉,한국,"판타지,멜로/로맨스",한국,판타지,한철수,20063187,㈜리필름,,,,,,,,,
20158466,러브앤서울 복숭아마을 도색소동기 무삭제판,AV Idol 2,2014,20151119,장편,개봉,"한국,일본",멜로/로맨스,한국,멜로/로맨스,조조 히데오,20063099,(주)케이알씨지,,,,,,,,,
20152044,러브앤서울 복숭아마을 도색소동기,AV Idol 2,2014,20150727,장편,개봉,"한국,일본",멜로/로맨스,한국,멜로/로맨스,조조 히데오,20063099,(주)케이알씨지,,,,,,,,,
20142407,오늘의 연애,Love Forecast,2014,20150114,장편,개봉,한국,"멜로/로맨스,코미디",한국,멜로/로맨스,박진표,20138597,(주)팝콘에프앤엠,,,,,,,,,
20150025,내부자들: 디 오리지널,Inside Men: The Original,2015,20151231,장편,개봉,한국,"범죄,드라마",한국,범죄,우민호,20157297,(유)내부자들 문화전문회사,,,,,,,,,
20156276,옆집 유부녀 - 은밀한 유혹,Neighbor wife Remember: love,2014,20151012,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,쿠보데라 카즈토,,,,,,,,,,,
